feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,feature_11,feature_12,feature_13,feature_14,feature_15,Subcomponent,failure_mechanisms_id,weights
Distribution,Oil,,,,,,,,,,,,,,34,39,3
Distribution,Oil,,,,,,,,,,,,,,34,42,1
Distribution,Oil,,,,,,,,,,,,,,34,43,2
Distribution,Oil,,,,,,,,,,,,,,34,44,1
Distribution,Oil,,,,,,,,,,,,,,34,46,1
Distribution,Oil,,,,,,,,,,,,,,34,47,2
Distribution,Oil,,,,,,,,,,,,,,35,44,1
Distribution,Oil,,,,,,,,,,,,,,35,46,3
Distribution,Oil,,,,,,,,,,,,,,35,47,6
Distribution,Oil,,,,,,,,,,,,,,36,36,1.5
Distribution,Oil,,,,,,,,,,,,,,36,40,1
Distribution,Oil,,,,,,,,,,,,,,36,42,1.5
Distribution,Oil,,,,,,,,,,,,,,36,43,2
Distribution,Oil,,,,,,,,,,,,,,36,44,0.5
Distribution,Oil,,,,,,,,,,,,,,36,45,1.5
Distribution,Oil,,,,,,,,,,,,,,36,47,2
Distribution,Oil,,,,,,,,,,,,,,37,36,1
Distribution,Oil,,,,,,,,,,,,,,37,37,2
Distribution,Oil,,,,,,,,,,,,,,37,40,2
Distribution,Oil,,,,,,,,,,,,,,37,41,1
Distribution,Oil,,,,,,,,,,,,,,37,42,0.5
Distribution,Oil,,,,,,,,,,,,,,37,44,0.5
Distribution,Oil,,,,,,,,,,,,,,37,45,0.5
Distribution,Oil,,,,,,,,,,,,,,37,46,1
Distribution,Oil,,,,,,,,,,,,,,37,47,1.5
Distribution,Oil,,,,,,,,,,,,,,38,36,1
Distribution,Oil,,,,,,,,,,,,,,38,37,2
Distribution,Oil,,,,,,,,,,,,,,38,40,2
Distribution,Oil,,,,,,,,,,,,,,38,41,1
Distribution,Oil,,,,,,,,,,,,,,38,42,0.5
Distribution,Oil,,,,,,,,,,,,,,38,44,0.5
Distribution,Oil,,,,,,,,,,,,,,38,45,0.5
Distribution,Oil,,,,,,,,,,,,,,38,46,1
Distribution,Oil,,,,,,,,,,,,,,38,47,1.5
Distribution,Oil,,,,,,,,,,,,,,39,36,1
Distribution,Oil,,,,,,,,,,,,,,39,37,2
Distribution,Oil,,,,,,,,,,,,,,39,40,2
Distribution,Oil,,,,,,,,,,,,,,39,41,1
Distribution,Oil,,,,,,,,,,,,,,39,42,0.5
Distribution,Oil,,,,,,,,,,,,,,39,44,0.5
Distribution,Oil,,,,,,,,,,,,,,39,45,0.5
Distribution,Oil,,,,,,,,,,,,,,39,46,1
Distribution,Oil,,,,,,,,,,,,,,39,47,1.5
Distribution,Oil,,,,,,,,,,,,,,40,36,2
Distribution,Oil,,,,,,,,,,,,,,40,37,1
Distribution,Oil,,,,,,,,,,,,,,40,40,2
Distribution,Oil,,,,,,,,,,,,,,40,41,2
Distribution,Oil,,,,,,,,,,,,,,40,45,1
Distribution,Oil,,,,,,,,,,,,,,40,46,1
Distribution,Oil,,,,,,,,,,,,,,40,47,1
Distribution,Oil,,,,,,,,,,,,,,41,36,2
Distribution,Oil,,,,,,,,,,,,,,41,37,1
Distribution,Oil,,,,,,,,,,,,,,41,40,2
Distribution,Oil,,,,,,,,,,,,,,41,41,2
Distribution,Oil,,,,,,,,,,,,,,41,45,1
Distribution,Oil,,,,,,,,,,,,,,41,46,1
Distribution,Oil,,,,,,,,,,,,,,41,47,1
Distribution,Oil,,,,,,,,,,,,,,42,36,2
Distribution,Oil,,,,,,,,,,,,,,42,37,1
Distribution,Oil,,,,,,,,,,,,,,42,40,2
Distribution,Oil,,,,,,,,,,,,,,42,41,2
Distribution,Oil,,,,,,,,,,,,,,42,45,1
Distribution,Oil,,,,,,,,,,,,,,42,46,1
Distribution,Oil,,,,,,,,,,,,,,42,47,1
Distribution,Oil,,,,,,,,,,,,,,43,44,5
Distribution,Oil,,,,,,,,,,,,,,43,46,2
Distribution,Oil,,,,,,,,,,,,,,43,47,3
Distribution,Oil,,,,,,,,,,,,,,44,44,5
Distribution,Oil,,,,,,,,,,,,,,44,46,2
Distribution,Oil,,,,,,,,,,,,,,44,47,3
Distribution,Oil,,,,,,,,,,,,,,45,44,5
Distribution,Oil,,,,,,,,,,,,,,45,46,2
Distribution,Oil,,,,,,,,,,,,,,45,47,3
Distribution,Oil,,,,,,,,,,,,,,46,44,5
Distribution,Oil,,,,,,,,,,,,,,46,46,2
Distribution,Oil,,,,,,,,,,,,,,46,47,3
Distribution,Oil,,,,,,,,,,,,,,47,46,4
Distribution,Oil,,,,,,,,,,,,,,47,47,6
Distribution,Oil,,,,,,,,,,,,,,48,47,10
Distribution,Oil,,,,,,,,,,,,,,49,46,10
Distribution,Oil,,,,,,,,,,,,,,50,36,3
Distribution,Oil,,,,,,,,,,,,,,50,37,1
Distribution,Oil,,,,,,,,,,,,,,50,40,1
Distribution,Oil,,,,,,,,,,,,,,50,41,1
Distribution,Oil,,,,,,,,,,,,,,50,44,3
Distribution,Oil,,,,,,,,,,,,,,50,45,1
Distribution,Dry,,,,,,,,,,,,,,34,39,3
