Timestamp,Topic,Message
2025-02-12 21:46:02,tiscada/data/acquisition/PTTGC6/SS_02/alarms,"{
  ""nodePath"": ""PTTGC6/SS_02/alarms"",
  ""acqDateTime"": ""0001-01-01T00:00:00"",
  ""dataType"": 4,
  ""valueAsNumeric"": 0.0,
  ""valueAsString"": ""0"",
  ""qtyName"": null,
  ""messageTimeStamp"": ""2025-02-12T14:46:02.0790433Z"",
  ""qualityCode"": {
    ""Validity"": ""Good"",
    ""DetailQuality"": null,
    ""Source"": ""Process"",
    ""test"": null,
    ""operatorBlocked"": null,
    ""disconnected"": null
  }
}"
2025-02-12 21:46:02,tiscada/data/acquisition/PTTGC6/SS_02/GEN_1/PDSCOPE 1/Channel1/Ch1/Alarm Summary,"{
  ""nodePath"": ""PTTGC6/SS_02/GEN_1/PDSCOPE 1/Channel1/Ch1/Alarm Summary"",
  ""acqDateTime"": ""0001-01-01T00:00:00+07:00"",
  ""dataType"": 4,
  ""valueAsNumeric"": 0.0,
  ""valueAsString"": ""0"",
  ""qtyName"": null,
  ""messageTimeStamp"": ""2025-02-12T14:46:02.080042Z"",
  ""qualityCode"": {
    ""Validity"": ""Good"",
    ""DetailQuality"": null,
    ""Source"": ""Process"",
    ""test"": null,
    ""operatorBlocked"": null,
    ""disconnected"": null
  }
}"
2025-02-12 21:46:02,tiscada/data/acquisition/PTTGC6/SS_02/GEN_1/PDSCOPE 1/Channel1/Ch1/Subsession 0/Area Entire/Algorithm Parameters/QMax Th1,"{
  ""nodePath"": ""PTTGC6/SS_02/GEN_1/PDSCOPE 1/Channel1/Ch1/Subsession 0/Area Entire/Algorithm Parameters/QMax Th1"",
  ""acqDateTime"": ""2024-07-09T20:40:41.736+07:00"",
  ""dataType"": 3,
  ""valueAsNumeric"": 0.0,
  ""valueAsString"": ""0"",
  ""qtyName"": null,
  ""messageTimeStamp"": ""2025-02-12T14:46:02.0810394Z"",
  ""qualityCode"": {
    ""Validity"": ""Good"",
    ""DetailQuality"": null,
    ""Source"": ""Process"",
    ""test"": null,
    ""operatorBlocked"": null,
    ""disconnected"": null
  }
}"
2025-02-12 21:46:02,tiscada/data/acquisition/PTTGC6/SS_02/GEN_1/PDSCOPE 1/Channel1/Ch1/Subsession 0/Area Entire/Algorithm Parameters/QMax Th2,"{
  ""nodePath"": ""PTTGC6/SS_02/GEN_1/PDSCOPE 1/Channel1/Ch1/Subsession 0/Area Entire/Algorithm Parameters/QMax Th2"",
  ""acqDateTime"": ""2024-07-09T20:40:41.742+07:00"",
  ""dataType"": 3,
  ""valueAsNumeric"": 0.001,
  ""valueAsString"": ""0.001"",
  ""qtyName"": null,
  ""messageTimeStamp"": ""2025-02-12T14:46:02.0810394Z"",
  ""qualityCode"": {
    ""Validity"": ""Good"",
    ""DetailQuality"": null,
    ""Source"": ""Process"",
    ""test"": null,
    ""operatorBlocked"": null,
    ""disconnected"": null
  }
}"
2025-02-12 21:46:02,tiscada/data/acquisition/PTTGC6/SS_02/GEN_1/PDSCOPE 1/Channel1/Ch1/Subsession 0/Area Entire/Algorithm Parameters/Acquisition Number,"{
  ""nodePath"": ""PTTGC6/SS_02/GEN_1/PDSCOPE 1/Channel1/Ch1/Subsession 0/Area Entire/Algorithm Parameters/Acquisition Number"",
  ""acqDateTime"": ""2024-07-09T20:40:41.747+07:00"",
  ""dataType"": 4,
  ""valueAsNumeric"": 6.0,
  ""valueAsString"": ""6"",
  ""qtyName"": null,
  ""messageTimeStamp"": ""2025-02-12T14:46:02.0820433Z"",
  ""qualityCode"": {
    ""Validity"": ""Good"",
    ""DetailQuality"": null,
    ""Source"": ""Process"",
    ""test"": null,
    ""operatorBlocked"": null,
    ""disconnected"": null
  }
}"
2025-02-12 21:46:02,tiscada/data/acquisition/PTTGC6/SS_02/GEN_1/PDSCOPE 1/Channel1/Ch1/Subsession 0/Area Entire/Algorithm Parameters/Attenuation Factor,"{
  ""nodePath"": ""PTTGC6/SS_02/GEN_1/PDSCOPE 1/Channel1/Ch1/Subsession 0/Area Entire/Algorithm Parameters/Attenuation Factor"",
  ""acqDateTime"": ""2024-07-09T20:40:41.753+07:00"",
  ""dataType"": 3,
  ""valueAsNumeric"": 1.0,
  ""valueAsString"": ""1"",
  ""qtyName"": null,
  ""messageTimeStamp"": ""2025-02-12T14:46:02.0830428Z"",
  ""qualityCode"": {
    ""Validity"": ""Good"",
    ""DetailQuality"": null,
    ""Source"": ""Process"",
    ""test"": null,
    ""operatorBlocked"": null,
    ""disconnected"": null
  }
}"
2025-02-12 21:46:02,tiscada/data/acquisition/PTTGC6/SS_02/GEN_1/PDSCOPE 1/Channel1/Ch1/Subsession 0/Area Entire/Algorithm Parameters/Risk Factor Ns,"{
  ""nodePath"": ""PTTGC6/SS_02/GEN_1/PDSCOPE 1/Channel1/Ch1/Subsession 0/Area Entire/Algorithm Parameters/Risk Factor Ns"",
  ""acqDateTime"": ""2024-07-09T20:40:41.759+07:00"",
  ""dataType"": 3,
  ""valueAsNumeric"": 100000.0,
  ""valueAsString"": ""100000"",
  ""qtyName"": null,
  ""messageTimeStamp"": ""2025-02-12T14:46:02.0830428Z"",
  ""qualityCode"": {
    ""Validity"": ""Good"",
    ""DetailQuality"": null,
    ""Source"": ""Process"",
    ""test"": null,
    ""operatorBlocked"": null,
    ""disconnected"": null
  }
}"
2025-02-12 21:46:02,tiscada/data/acquisition/PTTGC6/SS_02/GEN_1/PDSCOPE 1/Channel1/Ch1/Subsession 0/Area Entire/Algorithm Parameters/Risk Factor QMax,"{
  ""nodePath"": ""PTTGC6/SS_02/GEN_1/PDSCOPE 1/Channel1/Ch1/Subsession 0/Area Entire/Algorithm Parameters/Risk Factor QMax"",
  ""acqDateTime"": ""2024-07-09T20:40:41.764+07:00"",
  ""dataType"": 3,
  ""valueAsNumeric"": 1.0,
  ""valueAsString"": ""1"",
  ""qtyName"": null,
  ""messageTimeStamp"": ""2025-02-12T14:46:02.0840395Z"",
  ""qualityCode"": {
    ""Validity"": ""Good"",
    ""DetailQuality"": null,
    ""Source"": ""Process"",
    ""test"": null,
    ""operatorBlocked"": null,
    ""disconnected"": null
  }
}"
2025-02-12 21:46:02,tiscada/data/acquisition/PTTGC6/SS_02/GEN_1/PDSCOPE 1/Channel1/Ch1/Subsession 0/Area Entire/Algorithm Parameters/Ns Th1,"{
  ""nodePath"": ""PTTGC6/SS_02/GEN_1/PDSCOPE 1/Channel1/Ch1/Subsession 0/Area Entire/Algorithm Parameters/Ns Th1"",
  ""acqDateTime"": ""2024-07-09T20:40:41.77+07:00"",
  ""dataType"": 3,
  ""valueAsNumeric"": 1.0,
  ""valueAsString"": ""1"",
  ""qtyName"": null,
  ""messageTimeStamp"": ""2025-02-12T14:46:02.0850406Z"",
  ""qualityCode"": {
    ""Validity"": ""Good"",
    ""DetailQuality"": null,
    ""Source"": ""Process"",
    ""test"": null,
    ""operatorBlocked"": null,
    ""disconnected"": null
  }
}"
2025-02-12 21:46:02,tiscada/data/acquisition/PTTGC6/SS_02/GEN_1/PDSCOPE 1/Channel1/Ch1/Subsession 0/Area Entire/Algorithm Parameters/Ns Th2,"{
  ""nodePath"": ""PTTGC6/SS_02/GEN_1/PDSCOPE 1/Channel1/Ch1/Subsession 0/Area Entire/Algorithm Parameters/Ns Th2"",
  ""acqDateTime"": ""2024-07-09T20:40:41.773+07:00"",
  ""dataType"": 3,
  ""valueAsNumeric"": 10000.0,
  ""valueAsString"": ""10000"",
  ""qtyName"": null,
  ""messageTimeStamp"": ""2025-02-12T14:46:02.0850406Z"",
  ""qualityCode"": {
    ""Validity"": ""Good"",
    ""DetailQuality"": null,
    ""Source"": ""Process"",
    ""test"": null,
    ""operatorBlocked"": null,
    ""disconnected"": null
  }
}"
